2023-08-17 00:00:54,773 WARN  [org.apache.activemq.artemis.core.server] AMQ222149: Sending message Reference[33221]:RELIABLE:CoreMessage[messageID=33221,durable=true,userID=1f810eee-3c91-11ee-ad7b-0a002700000b,priority=4, timestamp=Thu Aug 17 00:00:49 UTC 2023,expiration=0, durable=true, address=simple.fail,size=349,properties=TypedProperties[__AMQ_CID=c933db6e-3c90-11ee-ad7b-0a002700000b, _AMQ_ROUTING_TYPE=1]]@1764046539 to Dead Letter Address DLA from simple.fail
2023-08-17 00:14:32,959 WARN  [org.apache.activemq.artemis.core.server] AMQ222149: Sending message Reference[43267]:RELIABLE:CoreMessage[messageID=43267,durable=true,userID=071e4f3f-3c93-11ee-ad7b-0a002700000b,priority=4, timestamp=Thu Aug 17 00:14:27 UTC 2023,expiration=0, durable=true, address=simple.fail,size=349,properties=TypedProperties[__AMQ_CID=e68dfa41-3c92-11ee-ad7b-0a002700000b, _AMQ_ROUTING_TYPE=1]]@659348183 to Dead Letter Address DLA from simple.fail
2023-08-17 00:17:49,037 INFO  [org.apache.activemq.artemis] AMQ241005: Stopping embedded web server
2023-08-17 00:17:49,164 INFO  [io.hawt.HawtioContextListener] Destroying hawtio services
2023-08-17 00:17:49,638 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Destroyed artemis-plugin plugin
2023-08-17 00:17:49,895 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Destroyed activemq-branding plugin
2023-08-17 00:17:50,336 INFO  [org.apache.activemq.artemis] AMQ241006: Stopped embedded web server
2023-08-17 00:17:50,430 INFO  [org.apache.activemq.artemis.core.server] AMQ221002: Apache ActiveMQ Artemis Message Broker version 2.30.0 [7c95a8d8-3be0-11ee-829b-0242ac170002] stopped, uptime 28 minutes
2023-08-17 00:38:48,329 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server version 2.30.0
2023-08-17 00:38:48,855 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=false,journalDirectory=data/journal,bindingsDirectory=data/bindings,largeMessagesDirectory=data/large-messages,pagingDirectory=data/paging)
2023-08-17 00:38:49,332 INFO  [org.apache.activemq.artemis.core.server] AMQ221012: Using AIO Journal
2023-08-17 00:38:50,047 INFO  [org.apache.activemq.artemis.core.server] AMQ221057: Global Max Size is being adjusted to 1/2 of the JVM max size (-Xmx). being defined as 1073741824
